Ersatzfahrer_aktiviert
34
0
0
26
0
0
131
0
0
0
0
0
30
0
0
162
63
0
22
0
33
0
0
0
0
0
0
0
0
93
0
0
23
154
253
64
248
236
0
0
0
0
0
124
0
61
0
0
0
0
70
111
0
24
0
0
0
143
0
0
0
90
0
22
56
57
292
49
169
76
0
269
0
151
194
0
0
0
0
0
0
0
136
0
0
0
0
0
0
0
0
0
461
430
253
320
201
146
0
0
0
0
51
0
0
0
0
0
0
80
0
0
0
0
0
35
0
0
0
0
0
78
132
216
235
0
0
0
0
78
117
0
0
9
0
0
71
31
0
0
0
0
0
87
35
0
0
0
90
0
0
24
95
0
0
0
0
11
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
82
0
0
0
0
0
0
0
285
0
33
0
0
0
0
0
0
0
0
0
0
0
2
0
0
0
0
0
0
0
25
0
0
0
0
0
0
0
0
34
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
19
0
0
0
27
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
268
104
0
0
0
0
0
0
61
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
28
0
0
0
0
200
0
283
117
0
0
32
13
0
105
0
0
0
0
0
0
69
0
0
0
0
0
0
0
0
36
0
0
0
0
308
0
275
181
0
108
0
0
143
69
28
139
0
0
0
0
0
0
0
0
0
15
176
0
0
0
0
0
0
0
111
420
225
0
0
232
0
184
92
0
117
0
91
227
0
0
0
0
0
0
0
39
0
0
0
0
0
0
0
0
71
0
0
21
94
329
0
0
0
0
0
0
0
0
130
24
68
137
191
166
0
0
0
0
0
0
0
0
0
0
0
0
359
277
143
0
199
0
103
101
0
0
152
0
0
137
38
89
61
21
2
0
0
0
0
104
0
48
0
0
176
0
0
120
52
112
0
0
0
0
0
0
6
0
0
219
0
9
67
0
68
0
0
4
0
78
0
0
14
0
0
45
0
164
0
21
60
257
0
0
0
208
25
0
0
0
0
0
107
0
0
0
0
0
0
0
0
0
0
0
0
0
116
0
243
14
156
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
209
0
0
0
96
0
69
0
0
0
0
0
64
0
46
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
69
87
0
276
0
98
0
0
62
0
0
189
0
0
0
0
170
0
0
68
15
0
0
0
0
63
0
0
0
61
108
0
0
0
100
149
234
0
0
0
0
36
0
0
0
56
0
157
0
0
109
0
0
0
0
0
0
0
0
0
0
317
0
138
454
175
13
0
0
43
0
0
248
308
0
0
0
0
0
276
2
0
0
106
0
225
175
0
100
91
0
29
264
0
0
0
64
56
0
51
132
54
295
26
176
0
162
4
36
51
0
0
0
0
49
0
0
0
0
0
0
0
0
0
133
0
0
0
0
0
0
0
0
0
0
188
0
86
0
0
21
0
171
50
141
4
94
0
18
0
0
0
143
313
184
317
34
333
182
59
0
0
0
91
113
0
0
0
17
0
0
0
0
38
90
0
0
52
0
0
0
0
0
92
0
0
231
0
0
0
191
171
0
0
0
57
0
